batch	num	fish_id	whole_wet_weight	gutted_weight	stom_fullness	gut_fullness	liver_weight	notes
7	1	G.F.AR.01.031	1.1	1	1	1	0.013	
7	2	G.F.AR.01.035	1	0.8	3	2	0.006	
7	3	G.F.AR.01.036	0.7	0.7	3	2	N/A	
7	4	G.F.AR.01.037	0.3	0.4	3	3	0.003	
7	5	G.F.AR.01.040	0.7	0.7	3	2	0.011	
7	6	G.F.AR.01.042	1.1	1	3	4	0.012	
7	7	G.F.AR.01.046	0.3	0.3	2	1	0.003	
7	8	G.F.AR.01.047	0.5	0.5	3	1	0.006	
8	1	G.F.AR.02.005	N/A	N/A	N/A	N/A	N/A	stomach bust open
8	2	G.F.AR.02.006	N/A	N/A	N/A	N/A	N/A	stomach bust open
8	3	G.F.AR.02.009	0.3	0.3	3	2	0.003	
8	4	G.F.AR.02.011	N/A	N/A	N/A	N/A	N/A	stomach bust open
8	5	G.F.AR.02.013	0.6	0.6	3	3	0.009	
8	6	G.F.AR.02.014	0.7	0.6	3	2	0.011	
8	7	G.F.AR.02.015	0.6	0.3	4	3	0.002	
8	8	G.F.AR.02.017	1.6	1.2	4	3	0.011	
9	1	G.F.AR.03.042	1.2	1.1	4	3	0.014	
9	2	G.F.AR.03.045	N/A	N/A	N/A	N/A	N/A	stomach destroyed/out
9	3	G.F.AR.03.050	0.5	0.4	3	N/A	N/A	"full gut not here, liver gone"
9	4	G.F.AR.03.051	N/A	N/A	N/A	N/A	N/A	torn in half
9	5	G.F.AR.03.053	0.7	0.6	3	2	0.008	
9	6	G.F.AR.03.054	1	0.7	4	3	0.007	
9	7	G.F.AR.03.056	1	0.9	3	2	0.015	
9	8	G.F.AR.03.057	0.3	0.3	3	3	0.003	
10	1	G.F.BF.01.009	1.2	0.9	5	2	0.002	stomach busting
10	2	G.F.BF.01.015	0.9	0.7	4	3	0.01	
10	3	G.F.BF.01.018	0.8	0.6	4	3	0.01	
10	4	G.F.BF.01.023	0.3	0.2	2	2	0.002	
10	5	G.F.BF.01.039	0.7	0.5	4	2	0.009	
10	6	G.F.BF.01.042	0.7	0.5	4	3	0.008	
10	7	G.F.BF.01.043	1.8	1.4	4	4	0.036	female with eggs
10	8	G.F.BF.01.049	0.1	0	2	2	N/A	liver gone
11	1	G.F.BF.02.008	0.9	0.6	3	1	0.012	
11	2	G.F.BF.02.010	0.8	0.6	3	2	0.023	
11	3	G.F.BF.02.013	0.4	0.3	2	3	0.002	
11	4	G.F.BF.02.016	0.8	0.6	3	3	0.013	external poop
11	5	G.F.BF.02.018	1	0.8	4	2	0.012	external poop
11	6	G.F.BF.02.025	0.6	0.5	3	2	0.002	
11	7	G.F.BF.02.026	2.1	1.7	3	2	0.03	
11	8	G.F.BF.02.028	2.3	1.9	3	2	0.054	baby shrimp
12	1	G.F.BF.03.032	0.3	0.3	3	2	0.006	gut not fully there
12	2	G.F.BF.03.033	0.4	0.3	2	1	0.002	
12	3	G.F.BF.03.034	1	0.8	3	2	0.022	
