running_num	fish_id	id_date	common_name	length	id_notes
1	G.F.BF.01.001	2/11/2019	NA	19	"destroyed, measured on fish board, ided in tap water"
2	G.F.BF.01.002	2/11/2019	spot	18	"measured on fish board, ided in tap water"
3	G.F.BF.01.003	2/11/2019	spot	20	"measured on fish board, ided in tap water"
4	G.F.BF.01.004	2/11/2019	spot	18	"measured on fish board, ided in tap water"
5	G.F.BF.01.005	2/11/2019	spot	18	"measured on fish board, ided in tap water"
6	G.F.BF.02.001	2/11/2019	spot	19	"measured on fish board, ided in tap water"
7	G.F.BF.02.002	2/11/2019	spot	18	"measured on fish board, ided in tap water"
8	G.F.BF.02.003	2/11/2019	spot	20	"measured on fish board, ided in tap water"
9	G.F.BF.02.004	2/11/2019	spot	18	"measured on fish board, ided in tap water"
10	G.F.BF.02.005	2/11/2019	spot	18	"measured on fish board, ided in tap water"
11	G.F.BF.03.001	2/12/2019	spot	16	
12	G.F.BF.03.002	2/12/2019	spot	17	
13	G.F.BF.03.003	2/12/2019	spot	17	
14	G.F.BF.03.004	2/12/2019	spot	15	
15	G.F.BF.03.005	2/12/2019	spot	14	
16	G.F.BF.03.006	2/12/2019	spot	14	
17	G.F.BF.03.007	2/12/2019	spot	17	
18	G.F.BF.03.008	2/12/2019	spot	15	
19	G.F.BF.03.009	2/12/2019	spot	14	
20	G.F.BF.03.010	2/12/2019	spot	15	
21	G.F.BF.03.011	2/12/2019	spot	13	
22	G.F.BF.03.012	2/12/2019	spot	15	
23	G.F.BF.03.013	2/12/2019		16	
24	G.F.BF.03.014	2/12/2019	spot	14	
25	G.F.BF.03.015	2/12/2019	spot	17	
26	G.F.BF.03.016	2/12/2019	spot	13	
27	G.F.BF.03.017	2/12/2019	spot	14	
28	G.F.BF.03.018	2/12/2019	spot	15	
29	G.F.BF.03.019	2/12/2019	spot	15	
30	G.F.BF.03.020	2/12/2019	spot	16	
31	G.F.BF.03.021	2/12/2019	spot	14	
32	G.F.BF.03.022	2/12/2019	spot	16	destroyed
33	G.F.BF.03.023	2/12/2019	spot	15	
34	G.F.BF.03.024	2/12/2019	spot	15	
35	G.F.BF.03.025	2/12/2019	spot	14	
36	G.F.BF.03.026	2/12/2019	spot	15	
37	G.F.BF.03.027	2/12/2019	spot	14	
38	G.F.BF.03.028	2/12/2019	spot	15	
39	G.F.BF.03.029	2/12/2019	spot	16	
40	G.F.BF.03.030	2/12/2019	spot	15	
41	G.F.MG.01.001	2/22/2019	red drum	33	
42	G.F.MG.01.002	2/22/2019	red drum	34	
43	G.F.MG.01.003	2/22/2019	red drum	32	
44	G.F.MG.01.004	2/22/2019	atlantic croaker	15	
45	G.F.MG.01.005	2/22/2019	red drum	32	
46	G.F.MG.01.006	2/22/2019	red drum	37	
47	G.F.MG.01.007	2/22/2019	red drum	45	
48	G.F.MG.01.008	2/22/2019	red drum	34	
49	G.F.MG.01.009	2/22/2019	red drum	36	
50	G.F.MG.03.001	2/22/2019	atlantic croaker	21	
51	G.F.MG.03.002	2/22/2019	atlantic croaker	25	
52	G.F.MG.03.003	2/22/2019	atlantic croaker	18	
53	G.F.MG.03.004	2/22/2019	atlantic croaker	17	
54	G.F.MG.03.005	2/22/2019	atlantic croaker	19	
55	G.F.MG.03.006	2/22/2019	atlantic croaker	20	
56	G.F.MG.03.007	2/22/2019	atlantic croaker	17	
57	G.F.MG.03.008	2/22/2019	atlantic croaker	16	
