bay	site	season	ysi_loc	wat_temp	pressure	DO_sat	DO_per	spc	conductivity	salinity	ph	depth	
aransas	1	fall	nearshore surface	17.872	757.4	120.5	10.35	27053	23371	16.65	8.38	0.27	
aransas	1	fall	offshore surface	18.26	756.7	129.2	11.04	26481	23075	16.27	8.3	0.331	
aransas	1	fall	offshore bottom	17.83	756.7	132.6	11.41	26822	23166	16.5	8.38	1.06	
aransas	2	fall	nearshore surface	21.306	755.4	156.8	12.57	26334	24470	16.18	8.27	0.403	
aransas	2	fall	offshore surface	18.388	755.4	137.1	11.78	24328	21259	14.82	8.29	0.31	
aransas	2	fall	offshore bottom	17.5	755.4	139.7	12.08	27429	23505	16.91	8.34	1.09	
aransas	3	fall	nearshore surface	20.952	755.2	171.4	13.63	32322	29839	20.22	8.5	0.271	
aransas	3	fall	offshore surface	18.889	755.2	121.3	9.95	33876	29908	21.29	8.22	0.283	
aransas	3	fall	offshore bottom	18.729	755.2	124.8	10.11	36370	32200	23.22	8.26	1.098	
baffin	1	fall	nearshore surface	13.438	767.7	88.3	7.84	40635	31658	25.98	7.83	0.3	
baffin	1	fall	offshore surface	13.657	767.8	88.9	7.85	40563	31760	25.93	7.9	0.281	
baffin	1	fall	offshore bottom	14.152	767.7	82.1	7.11	41843	33185	26.87	7.87	2.1	
baffin	2	fall	nearshore surface	14.451	766.6	96.7	8.4	40742	32516	26.07	7.94	0.0276	
baffin	2	fall	offshore surface	14.318	766.3	85.8	7.46	41179	32766	26.39	7.79	0.275	
baffin	2	fall	offshore bottom	14.15	766.2	86.6	7.55	41286	32747	26.48	7.88	0.999	
baffin	3	fall	nearshore surface	15.42	765.6	93.2	7.85	43799	35770	28.29	7.74	0.284	
baffin	3	fall	offshore surface	14.799	765.6	97.8	8.33	43668	35153	28.18	7.91	0.276	
baffin	3	fall	offshore bottom	14.089	765.5	84.3	7.23	43786	34656	28.24	7.98	1.438	
lavaca	1	fall	nearshore surface	16.686	766.1	117.8	11.2	7834	6208	4.09	8.16	0.128	
lavaca	1	fall	offshore surface	15.076	766	109.7	10.78	7330	5968	4.09	8.22	0.66	
lavaca	1	fall	offshore bottom	14.28	765.9	66.1	6.08	23720	18766	4.5	7.73	1.658	
matagorda	1	fall	nearshore surface	13.532	772.8	98.1	8.81	37500	29200	23.64	8.07	0.378	spc and conductivity approximated
matagorda	1	fall	offshore surface	14	771.6	108.2	9.76	36000	29000	23.38	8.13	0.582	spc and conductivity approximated
matagorda	1	fall	offshore bottom	14.447	779.6	104.9	9.22	37900	30250	24.15	8.22	2.387	spc and conductivity approximated
matagorda	2	fall	nearshore surface	14.291	769.7	144.4	13.27	28420	22615	17.55	8.44	0.3	
matagorda	2	fall	offshore surface	13.388	769.5	110.5	10.5	29760	23500	18.85	8.24	0.291	spc and conductivity approximated
matagorda	2	fall	offshore bottom	13.7	769.5	97.9	8.85	35380	27566	22.22	8.24	2.49	
matagorda	3	fall	nearshore surface	16.215	788.5	1.925	12.28	10105	8406	5.72	8.35	0.276	
matagorda	3	fall	offshore surface	12.782	768.6	108.6	11.05	10750	8242	6.08	8.21	0.396	spc approximated
matagorda	3	fall	offshore bottom	12.334	768.5	99.8	9.58	27838	21111	17.14	8.17	2.525	spc approximated
san antonio	1	fall	nearshore surface	11.605	773	106.2	10.04	35104	26125	22.07	8.14	0.27	
san antonio	1	fall	offshore surface	12.952	772.2	100.5	9.48	28951	22264	17.89	8.11	0.37	
san antonio	1	fall	offshore bottom	11.381	772.2	110.3	10.51	34825	25719	21.88	8.28	1.74	
san antonio	2	fall	nearshore surface	14.313	771.2	146.6	13.2	33435	26590	20.97	8.25	0.28	
san antonio	2	fall	offshore surface	12.544	771.1	102.9	9.94	25478	19445	15.58	8.13	0.469	
